Bank,Id,Total Assets,Total Deposits,Number of Employees,Net Income,Total Liabilities,Total Equity Capital,Derivatives,Return on Assets,Return on Equity
United Orient Bank,3366,"$107,952,000","$70,660,000",28,"$89,000","$95,025,000","$12,927,000",$0,0%,3%
Peoples Bank of Greensboro,3367,"$107,725,000","$106,486,000",16,"$296,000","$106,634,000","$1,091,000",$0,1%,248%
First Bank of Beloit,3368,"$107,687,000","$85,587,000",16,"$162,000","$98,268,000","$9,419,000",$0,1%,7%
The Hamilton Bank,3369,"$107,665,000","$101,466,000",17,"$332,000","$104,579,000","$3,086,000",$0,1%,53%
Cedar Rapids State Bank,3370,"$107,533,000","$94,850,000",19,"$-50,000","$98,107,000","$9,426,000",$0,0%,-2%
The Chasewood Bank,3371,"$107,448,000","$94,033,000",20,"$378,000","$97,361,000","$10,087,000",$0,1%,15%
Anna State Bank,3372,"$107,432,000","$93,279,000",17,"$157,000","$93,406,000","$14,026,000",$0,1%,5%
Clay County State Bank,3373,"$107,423,000","$99,209,000",17,"$243,000","$99,735,000","$7,688,000",$0,1%,13%
Princeville State Bank,3374,"$107,278,000","$86,637,000",17,"$371,000","$101,240,000","$6,038,000",$0,1%,26%
Rocky Mountain Bank & Trust,3375,"$107,186,000","$92,728,000",23,"$552,000","$97,298,000","$9,888,000",$0,2%,24%
Fidelity Bank of Texas,3376,"$107,165,000","$92,984,000",26,"$497,000","$93,134,000","$14,031,000",$0,2%,14%
First State Bank of Bigfork,3377,"$106,654,000","$91,192,000",19,"$307,000","$95,841,000","$10,813,000",$0,1%,12%
The State Bank of Wynnewood,3378,"$106,453,000","$94,601,000",14,"$216,000","$95,076,000","$11,377,000",$0,1%,8%
CentreBank,3379,"$106,142,000","$91,668,000",26,"$461,000","$92,057,000","$14,085,000",$0,2%,13%
Gunnison Savings and Loan Association,3380,"$105,958,000","$87,706,000",15,"$1,000","$92,627,000","$13,331,000",$0,0%,0%
"Central Savings, f.s.b.",3381,"$105,929,000","$76,677,000",21,"$241,000","$77,355,000","$28,574,000",$0,1%,3%
DNB NATIONAL BANK,3382,"$105,876,000","$100,640,000",13,"$357,000","$102,029,000","$3,847,000",$0,1%,38%
FNB Coweta,3383,"$105,797,000","$100,654,000",19,"$93,000","$100,753,000","$5,044,000",$0,0%,8%
The Hamler State Bank,3384,"$105,632,000","$91,067,000",8,"$434,000","$91,495,000","$14,137,000",$0,2%,12%
Investment Savings Bank,3385,"$105,623,000","$80,965,000",14,"$139,000","$85,801,000","$19,822,000",$0,1%,3%
Bank of Brookfield - Purdin,3386,"$105,465,000","$94,359,000",17,"$179,000","$97,320,000","$8,145,000",$0,1%,9%
The Bank of Magnolia Company,3387,"$104,497,000","$93,771,000",18,"$178,000","$94,736,000","$9,761,000",$0,1%,7%
The Bendena State Bank,3388,"$104,228,000","$97,835,000",13,"$349,000","$97,979,000","$6,249,000",$0,1%,24%
The State Bank of Geneva,3389,"$104,196,000","$94,710,000",24,"$422,000","$94,949,000","$9,247,000",$0,2%,19%
Bar Harbor Savings and Loan Association,3390,"$104,143,000","$76,408,000",10,"$123,000","$91,513,000","$12,630,000",$0,0%,4%
Conway Bank,3391,"$104,070,000","$84,419,000",26,"$175,000","$96,286,000","$7,784,000",$0,1%,9%
Pioneer Federal Savings and Loan Association,3392,"$104,055,000","$85,837,000",20,"$104,000","$86,391,000","$17,664,000",$0,0%,2%
Sibley State Bank,3393,"$103,977,000","$92,760,000",10,"$360,000","$94,826,000","$9,151,000",$0,1%,16%
TPNB Bank,3394,"$103,974,000","$90,095,000",13,"$166,000","$92,574,000","$11,400,000",$0,1%,6%
"Concordia Bank of Concordia, Missouri",3395,"$103,879,000","$92,809,000",26,"$284,000","$93,408,000","$10,471,000",$0,1%,11%
Global One Bank,3396,"$103,873,000","$69,728,000",27,"$-214,000","$71,011,000","$32,862,000",$0,-1%,-5%
First State Bank of Beecher City,3397,"$103,849,000","$90,243,000",14,"$631,000","$90,610,000","$13,239,000",$0,2%,19%
Farmers State Bank of Underwood,3398,"$103,765,000","$94,315,000",21,"$288,000","$97,994,000","$5,771,000",$0,1%,21%
The First National Bank of Aspermont,3399,"$103,577,000","$102,274,000",17,"$310,000","$102,446,000","$1,131,000",$0,1%,166%
Brantley Bank and Trust Company,3400,"$103,389,000","$87,506,000",22,"$217,000","$94,789,000","$8,600,000",$0,1%,10%
Bank of Commerce and Trust Company,3401,"$103,089,000","$97,823,000",21,"$131,000","$99,327,000","$3,762,000",$0,0%,14%
Mayville State Bank,3402,"$102,898,000","$95,862,000",25,"$220,000","$95,990,000","$6,908,000",$0,1%,13%
The Stockgrowers State Bank,3403,"$102,780,000","$76,904,000",17,"$362,000","$91,270,000","$11,510,000",$0,1%,13%
Logan County Bank,3404,"$102,761,000","$86,075,000",14,"$86,000","$86,191,000","$16,570,000",$0,0%,2%
Woodsfield Savings Bank,3405,"$102,737,000","$94,563,000",22,"$281,000","$94,744,000","$7,993,000",$0,1%,15%
Eureka Homestead,3406,"$102,734,000","$63,283,000",14,"$69,000","$83,568,000","$19,166,000",$0,0%,1%
Fredonia Valley Bank,3407,"$102,726,000","$90,678,000",23,"$233,000","$92,963,000","$9,763,000",$0,1%,10%
Small Business Bank,3408,"$102,663,000","$91,937,000",21,"$-142,000","$92,152,000","$10,511,000",$0,-1%,-5%
State Bank of Medora,3409,"$102,454,000","$84,081,000",15,"$217,000","$87,600,000","$14,854,000",$0,1%,6%
FWBank,3410,"$102,324,000","$81,342,000",21,"$-261,000","$82,266,000","$20,058,000",$0,-1%,-5%
Port Richmond Savings,3411,"$102,229,000","$64,100,000",10,"$652,000","$83,934,000","$18,295,000",$0,3%,14%
Bonduel State Bank,3412,"$102,190,000","$88,606,000",11,"$160,000","$89,064,000","$13,126,000",$0,1%,5%
Community Bank of Oelwein,3413,"$101,859,000","$88,251,000",10,"$268,000","$89,922,000","$11,937,000",$0,1%,9%
Williamsville State Bank & Trust,3414,"$101,767,000","$92,311,000",22,"$117,000","$92,468,000","$9,299,000",$0,0%,5%
"Auburn Savings Bank, FSB",3415,"$101,744,000","$79,637,000",18,"$19,000","$95,616,000","$6,128,000",$0,0%,1%
Embassy National Bank,3416,"$101,676,000","$81,930,000",23,"$269,000","$82,517,000","$19,159,000",$0,1%,6%
County Savings Bank,3417,"$101,637,000","$94,439,000",17,"$56,000","$95,083,000","$6,554,000",$0,0%,3%
First State Bank of Le Center,3418,"$101,512,000","$91,585,000",19,"$337,000","$92,107,000","$9,405,000",$0,1%,14%
"Merchants & Farmers Bank of Greene County, Alabama",3419,"$101,457,000","$91,853,000",26,"$175,000","$94,216,000","$7,241,000","$250,000",1%,10%
The First National Bank of Sparta,3420,"$101,296,000","$92,655,000",20,"$338,000","$93,644,000","$7,652,000",$0,1%,19%
The First National Bank of Coleraine,3421,"$100,805,000","$96,724,000",18,"$88,000","$96,792,000","$4,013,000",$0,0%,9%
Integrity Bank for Business,3422,"$100,795,000","$69,692,000",11,"$-173,000","$80,514,000","$20,281,000",$0,-1%,-3%
First Federal Savings and Loan Bank,3423,"$100,743,000","$81,831,000",6,"$935,000","$87,481,000","$13,262,000",$0,4%,28%
Monroe Savings Bank,3424,"$100,711,000","$79,882,000",17,"$106,000","$86,512,000","$14,199,000",$0,0%,3%
Washington Business Bank,3425,"$100,623,000","$79,513,000",13,"$388,000","$86,056,000","$14,567,000",$0,2%,11%
Senath State Bank,3426,"$100,541,000","$87,649,000",20,"$526,000","$87,740,000","$12,801,000",$0,2%,16%
Metz Banking Company,3427,"$100,376,000","$90,846,000",15,"$261,000","$91,025,000","$9,351,000",$0,1%,12%
Triumph State Bank,3428,"$100,077,000","$90,482,000",17,"$382,000","$91,297,000","$8,780,000",$0,2%,18%
Strasburg State Bank,3429,"$100,044,000","$91,387,000",7,"$416,000","$92,359,000","$7,685,000",$0,2%,22%
Key Community Bank,3430,"$99,686,000","$77,621,000",13,"$224,000","$92,115,000","$7,571,000",$0,1%,12%
The Peoples Savings and Loan Company,3431,"$99,634,000","$69,397,000",12,"$97,000","$90,809,000","$8,825,000",$0,0%,4%
The Baltic State Bank,3432,"$99,528,000","$92,953,000",19,"$260,000","$93,217,000","$6,311,000",$0,1%,17%
Black River Country Bank,3433,"$99,452,000","$83,874,000",20,"$181,000","$93,120,000","$6,332,000",$0,1%,12%
The Bank of Milan,3434,"$99,390,000","$90,059,000",14,"$217,000","$94,866,000","$4,524,000",$0,1%,21%
"Worthington Federal Savings Bank, FSB",3435,"$99,181,000","$82,461,000",14,"$59,000","$86,262,000","$12,919,000",$0,0%,2%
Bandera Bank,3436,"$98,771,000","$90,378,000",15,"$581,000","$90,626,000","$8,145,000",$0,2%,29%
Security National Bank,3437,"$98,644,000","$86,599,000",22,"$110,000","$90,707,000","$7,937,000",$0,0%,6%
Rushford State Bank (Incorporated),3438,"$98,273,000","$91,906,000",17,"$85,000","$94,216,000","$4,057,000",$0,0%,9%
"American Exchange Bank, Lindsay, Oklahoma",3439,"$97,382,000","$88,332,000",15,"$400,000","$89,583,000","$7,799,000",$0,2%,22%
Priority Bank,3440,"$96,910,000","$74,025,000",34,"$826,000","$86,082,000","$10,828,000",$0,4%,32%
The First National Bank of Johnson,3441,"$96,772,000","$79,553,000",9,"$25,000","$81,880,000","$14,892,000",$0,0%,1%
The Metamora State Bank,3442,"$96,549,000","$86,790,000",22,"$175,000","$89,602,000","$6,947,000",$0,1%,10%
Bank of Maple Plain,3443,"$96,311,000","$83,132,000",12,"$208,000","$87,215,000","$9,096,000",$0,1%,10%
First Farmers & Merchants State Bank,3444,"$96,254,000","$83,586,000",12,"$317,000","$89,336,000","$6,918,000",$0,1%,19%
The First State Bank of Healy,3445,"$96,204,000","$77,933,000",8,"$443,000","$83,541,000","$12,663,000",$0,2%,14%
Woodruff Federal Savings and Loan Association,3446,"$95,701,000","$61,039,000",11,"$92,000","$62,657,000","$33,044,000",$0,0%,1%
Johnson State Bank,3447,"$95,698,000","$80,835,000",17,"$270,000","$84,386,000","$11,312,000",$0,1%,10%
Lena State Bank,3448,"$95,660,000","$85,360,000",8,"$194,000","$87,677,000","$7,983,000",$0,1%,10%
Stockmens National Bank in Cotulla,3449,"$95,601,000","$87,944,000",15,"$346,000","$87,960,000","$7,641,000",$0,1%,18%
Atascosa Bank,3450,"$95,593,000","$89,059,000",10,"$691,000","$89,312,000","$6,281,000",$0,3%,48%
Bank of Buffalo,3451,"$95,347,000","$79,562,000",15,"$344,000","$87,988,000","$7,359,000",$0,1%,19%
The First National Bank of Lindsay,3452,"$95,187,000","$83,890,000",10,"$392,000","$84,379,000","$10,808,000",$0,2%,15%
State Bank of Cold Spring,3453,"$94,931,000","$84,060,000",12,"$165,000","$89,766,000","$5,165,000",$0,1%,13%
COREBANK,3454,"$94,925,000","$85,253,000",13,"$324,000","$85,572,000","$9,353,000",$0,1%,14%
"Riverside Savings Bank, SSB",3455,"$94,797,000","$68,399,000",17,"$-9,000","$75,310,000","$19,487,000","$379,000",0%,0%
First State Bank of San Diego,3456,"$94,687,000","$88,930,000",17,"$280,000","$89,052,000","$5,635,000",$0,1%,21%
Wellington Trust Company,3457,"$94,447,000",$0,17,$0,"$43,572,000","$50,875,000",$0,0%,0%
Miners Exchange Bank,3458,"$94,260,000","$83,378,000",44,"$137,000","$84,703,000","$9,557,000",$0,1%,6%
First State Bank Minnesota,3459,"$94,196,000","$83,840,000",14,"$398,000","$84,944,000","$9,252,000",$0,2%,18%
The First National Bank of Hooker,3460,"$94,099,000","$82,420,000",19,"$339,000","$83,007,000","$11,092,000",$0,1%,12%
Armstrong County Building and Loan Association,3461,"$93,645,000","$78,920,000",6,"$-49,000","$81,285,000","$12,360,000",$0,0%,-2%
The Bank of Bourbonnais,3462,"$93,630,000","$80,055,000",9,"$153,000","$85,772,000","$7,858,000",$0,1%,8%
The Citizens Bank of Edina,3463,"$93,617,000","$83,073,000",13,"$471,000","$83,353,000","$10,264,000",$0,2%,19%
The International Bank of Amherst,3464,"$93,572,000","$81,510,000",13,"$282,000","$81,683,000","$11,889,000",$0,1%,10%
Bank of Calhoun County,3465,"$93,423,000","$85,284,000",13,"$262,000","$85,944,000","$7,479,000",$0,1%,14%
The Gerber State Bank,3466,"$93,385,000","$86,870,000",14,"$212,000","$87,042,000","$6,343,000",$0,1%,14%
First Bank and Trust of Fullerton,3467,"$93,375,000","$74,276,000",13,"$256,000","$81,236,000","$12,139,000",$0,1%,9%
Dedicated Community Bank,3468,"$93,363,000","$85,973,000",19,"$210,000","$86,182,000","$7,181,000",$0,1%,12%
First State Bank of Harvey,3469,"$93,266,000","$87,130,000",15,"$216,000","$87,711,000","$5,555,000",$0,1%,17%
Hodge Bank & Trust Company,3470,"$93,119,000","$78,634,000",13,"$525,000","$79,131,000","$13,988,000",$0,2%,15%
Bank of Louisiana,3471,"$92,965,000","$82,939,000",27,"$194,000","$83,452,000","$9,513,000",$0,1%,8%
First Farmers & Merchants State Bank of Grand Meadow,3472,"$92,883,000","$84,862,000",14,"$310,000","$86,291,000","$6,592,000",$0,1%,19%
First Bank and Trust Company,3473,"$92,520,000","$78,910,000",14,"$345,000","$86,050,000","$6,470,000",$0,2%,23%
"The Exchange State Bank of St. Paul, Kansas",3474,"$92,318,000","$78,182,000",16,"$183,000","$83,270,000","$9,048,000",$0,1%,8%
State Bank of Bottineau,3475,"$92,308,000","$83,993,000",14,"$338,000","$84,514,000","$7,794,000",$0,1%,17%
Investors Community Bank,3476,"$92,114,000","$83,243,000",16,"$147,000","$83,333,000","$8,781,000",$0,1%,7%
Headwaters State Bank,3477,"$92,096,000","$75,449,000",14,"$209,000","$75,651,000","$16,445,000",$0,1%,5%
Bank of Walker County,3478,"$92,061,000","$84,190,000",22,"$281,000","$84,240,000","$7,821,000",$0,1%,15%
The Baldwin State Bank,3479,"$92,034,000","$81,752,000",15,"$134,000","$83,441,000","$8,593,000",$0,1%,6%
First National Bank in Fredonia,3480,"$91,959,000","$82,589,000",15,"$340,000","$82,631,000","$9,328,000",$0,1%,16%
The Lyndon State Bank,3481,"$91,877,000","$75,117,000",22,"$110,000","$84,210,000","$7,667,000",$0,0%,6%
First National Bank of Kansas,3482,"$91,871,000","$78,599,000",14,"$111,000","$90,583,000","$1,288,000","$5,000,000",0%,37%
West Plains Savings and Loan Association,3483,"$91,566,000","$66,436,000",17,"$159,000","$71,378,000","$20,188,000",$0,1%,3%
Peoples First Savings Bank,3484,"$91,276,000","$73,094,000",15,"$126,000","$82,370,000","$8,906,000",$0,1%,6%
White State Bank,3485,"$91,231,000","$83,151,000",10,"$241,000","$83,589,000","$7,642,000",$0,1%,13%
Northern State Bank of Virginia,3486,"$91,189,000","$82,718,000",16,"$43,000","$83,434,000","$7,755,000",$0,0%,2%
Farmers and Merchants State Bank of Bushnell,3487,"$91,181,000","$85,729,000",17,"$284,000","$86,006,000","$5,175,000",$0,1%,23%
First National Bank of South Padre Island,3488,"$91,141,000","$83,203,000",12,"$461,000","$83,446,000","$7,695,000",$0,2%,25%
Breda Savings Bank,3489,"$91,127,000","$71,520,000",8,"$267,000","$85,781,000","$5,346,000",$0,1%,20%
Silex Banking Company,3490,"$91,110,000","$79,301,000",10,"$224,000","$79,398,000","$11,712,000",$0,1%,8%
Community Bank and Trust - West Georgia,3491,"$91,095,000","$87,441,000",33,"$159,000","$87,634,000","$3,461,000",$0,1%,19%
The Sherwood State Bank,3492,"$91,087,000","$75,303,000",25,"$161,000","$80,675,000","$10,412,000",$0,1%,6%
Commodore Bank,3493,"$90,779,000","$84,916,000",17,"$-5,000","$86,239,000","$4,540,000",$0,0%,0%
The City National Bank of San Saba,3494,"$90,654,000","$83,601,000",10,"$81,000","$83,635,000","$7,019,000",$0,0%,5%
CBW Bank,3495,"$90,575,000","$67,781,000",20,"$1,255,000","$69,610,000","$20,965,000",$0,6%,25%
The First Bank and Trust Company of Murphysboro,3496,"$90,404,000","$84,286,000",26,"$119,000","$84,426,000","$5,978,000",$0,1%,8%
Villa Grove State Bank,3497,"$90,317,000","$80,613,000",19,"$248,000","$80,996,000","$9,321,000",$0,1%,11%
The First National Bank of Hebbronville,3498,"$90,309,000","$79,462,000",17,"$123,000","$79,880,000","$10,429,000",$0,1%,5%
Janesville State Bank,3499,"$89,811,000","$78,204,000",9,"$351,000","$81,239,000","$8,572,000",$0,2%,17%
Junction National Bank,3500,"$89,663,000","$87,102,000",12,"$387,000","$87,178,000","$2,485,000",$0,2%,72%
Zapata National Bank,3501,"$89,589,000","$78,365,000",19,"$486,000","$78,608,000","$10,981,000",$0,2%,18%
Community Bank Owatonna,3502,"$89,572,000","$83,759,000",11,"$81,000","$84,859,000","$4,713,000",$0,0%,7%
The First National Bank of Osakis,3503,"$89,461,000","$76,189,000",14,"$120,000","$81,492,000","$7,969,000",$0,1%,6%
"Bank of the Mountains, Inc.",3504,"$89,187,000","$79,305,000",27,"$188,000","$81,106,000","$8,081,000",$0,1%,9%
The MassMutual Trust Company,3505,"$89,151,000","$50,500,000",32,"$1,446,000","$62,191,000","$26,960,000",$0,7%,22%
Integrity Bank Plus,3506,"$89,089,000","$81,646,000",15,"$278,000","$82,549,000","$6,540,000",$0,1%,18%
"Citizens Bank of Cumberland County, Inc.",3507,"$89,085,000","$77,899,000",24,"$371,000","$79,514,000","$9,571,000",$0,2%,16%
Cambridge State Bank,3508,"$88,944,000","$81,914,000",12,"$209,000","$81,981,000","$6,963,000",$0,1%,13%
Sunnyside Federal Savings and Loan Association of Irvington,3509,"$88,877,000","$71,767,000",18,"$-142,000","$72,477,000","$16,400,000",$0,-1%,-4%
The Covington Savings and Loan Association,3510,"$88,837,000","$76,061,000",17,"$281,000","$76,312,000","$12,525,000",$0,1%,9%
Midwest National Bank,3511,"$88,771,000","$74,575,000",16,"$165,000","$82,016,000","$6,755,000",$0,1%,10%
First State Bank of Randolph County,3512,"$88,514,000","$89,402,000",18,"$144,000","$89,530,000","$-1,016,000",$0,1%,0%
Heritage Bank Minnesota,3513,"$88,404,000","$77,938,000",16,"$121,000","$82,702,000","$5,702,000",$0,1%,9%
The Four County Bank,3514,"$88,239,000","$78,929,000",14,"$427,000","$79,234,000","$9,005,000",$0,2%,18%
Farmers and Merchants Savings Bank,3515,"$88,230,000","$74,662,000",13,"$205,000","$75,953,000","$12,277,000",$0,1%,7%
First National Bank of Wauchula,3516,"$88,168,000","$78,178,000",28,"$231,000","$79,858,000","$8,310,000",$0,1%,11%
Garfield County Bank,3517,"$88,120,000","$73,589,000",13,"$292,000","$75,077,000","$13,043,000",$0,1%,9%
The Corn City State Bank,3518,"$87,855,000","$72,607,000",8,"$133,000","$83,680,000","$4,175,000",$0,1%,13%
First Naturalstate Bank,3519,"$87,819,000","$79,211,000",18,"$269,000","$79,564,000","$8,255,000",$0,1%,13%
Currie State Bank,3520,"$87,812,000","$77,670,000",19,"$316,000","$78,396,000","$9,416,000",$0,1%,13%
Ascent Bank,3521,"$87,717,000","$77,239,000",18,"$84,000","$80,528,000","$7,189,000",$0,0%,5%
North Cambridge Co-operative Bank,3522,"$87,252,000","$64,587,000",9,"$63,000","$65,276,000","$21,976,000",$0,0%,1%
The Kansas State Bank Overbrook Kansas,3523,"$87,241,000","$70,952,000",13,"$239,000","$79,645,000","$7,596,000",$0,1%,13%
First Security Bank of Roundup,3524,"$87,232,000","$79,580,000",10,"$374,000","$80,218,000","$7,014,000",$0,2%,23%
"Rockland Savings Bank, FSB",3525,"$87,213,000","$77,349,000",18,"$-20,000","$77,775,000","$9,438,000",$0,0%,-1%
Spring Valley Bank,3526,"$87,195,000","$50,100,000",10,"$651,000","$53,947,000","$33,248,000",$0,3%,8%
Bank of Stronghurst,3527,"$87,033,000","$79,394,000",15,"$110,000","$79,741,000","$7,292,000",$0,1%,6%
FNB Washington,3528,"$87,002,000","$60,583,000",10,"$205,000","$67,824,000","$19,178,000",$0,1%,4%
State Bank of St. Jacob,3529,"$86,904,000","$76,602,000",10,"$326,000","$76,740,000","$10,164,000",$0,2%,13%
Scribner Bank,3530,"$86,896,000","$74,763,000",13,"$514,000","$75,061,000","$11,835,000",$0,2%,18%
Farmers & Merchants Bank of Craig County,3531,"$86,846,000","$72,831,000",14,"$306,000","$73,006,000","$13,840,000",$0,1%,9%
The Ottoville Bank Company,3532,"$86,811,000","$67,478,000",9,"$341,000","$69,966,000","$16,845,000",$0,2%,8%
Nashville Savings Bank,3533,"$86,776,000","$76,932,000",6,"$231,000","$77,263,000","$9,513,000",$0,1%,10%
Catlin Bank,3534,"$86,748,000","$79,168,000",19,"$-41,000","$79,895,000","$6,853,000","$5,000",0%,-2%
Paramount Bank,3535,"$86,710,000","$65,415,000",50,"$-426,000","$76,319,000","$10,391,000","$15,421,000",-2%,-16%
The Miners National Bank of Eveleth,3536,"$86,484,000","$78,229,000",15,"$181,000","$79,596,000","$6,888,000",$0,1%,11%
Zavala County Bank,3537,"$86,426,000","$79,421,000",19,"$373,000","$79,511,000","$6,915,000",$0,2%,22%
Root River State Bank,3538,"$86,388,000","$81,221,000",10,"$78,000","$81,453,000","$4,935,000",$0,0%,7%
Carver State Bank,3539,"$86,321,000","$72,496,000",17,"$95,000","$75,588,000","$10,733,000",$0,0%,4%
KeySavings Bank,3540,"$86,275,000","$70,806,000",17,"$-39,000","$78,264,000","$8,011,000",$0,0%,-2%
Century Savings and Loan Association,3541,"$86,203,000","$69,692,000",14,"$35,000","$76,092,000","$10,111,000",$0,0%,1%
Covington County Bank,3542,"$86,041,000","$77,921,000",21,"$283,000","$78,643,000","$7,398,000",$0,1%,16%
Spectra Bank,3543,"$85,699,000","$76,295,000",22,"$-133,000","$81,639,000","$4,060,000",$0,-1%,-13%
First Security Bank - Canby,3544,"$85,479,000","$74,504,000",11,"$435,000","$74,639,000","$10,840,000",$0,2%,17%
Beauregard FSB,3545,"$85,298,000","$78,025,000",13,"$251,000","$78,091,000","$7,207,000",$0,1%,11%
Owingsville Banking Company,3546,"$85,116,000","$76,699,000",27,"$130,000","$80,140,000","$4,976,000",$0,1%,11%
Bank of Yates City,3547,"$85,043,000","$76,417,000",15,"$170,000","$79,168,000","$5,875,000",$0,1%,12%
First Bank of Utica,3548,"$84,669,000","$70,210,000",14,"$287,000","$75,305,000","$9,364,000",$0,1%,12%
First Security Bank of Deer Lodge,3549,"$84,609,000","$73,592,000",12,"$593,000","$76,673,000","$7,936,000",$0,3%,31%
The First National Bank of Blanchester,3550,"$84,402,000","$76,260,000",17,"$151,000","$76,623,000","$7,779,000",$0,1%,8%
Comerica Bank & Trust,3551,"$84,042,000","$506,000",127,"$4,981,000","$6,214,000","$77,828,000",$0,25%,26%
The First National Bank of Orwell,3552,"$83,956,000","$74,763,000",13,"$412,000","$74,938,000","$9,018,000",$0,2%,19%
The Bank of Protection,3553,"$83,664,000","$67,513,000",14,"$310,000","$73,290,000","$10,374,000",$0,1%,12%
COMMUNITY BANK OF OKLAHOMA,3554,"$83,641,000","$77,645,000",16,"$400,000","$78,139,000","$5,502,000",$0,2%,29%
The First National Bank of Manning,3555,"$83,431,000","$69,181,000",9,"$55,000","$72,989,000","$10,442,000",$0,0%,2%
The First National Bank of Peterstown,3556,"$83,181,000","$75,387,000",13,"$340,000","$75,542,000","$7,639,000",$0,2%,19%
CenBank,3557,"$83,059,000","$73,521,000",12,"$237,000","$76,992,000","$6,067,000",$0,1%,16%
Siouxland Bank,3558,"$82,974,000","$75,200,000",8,"$241,000","$75,797,000","$7,177,000",$0,1%,14%
Bank of Lake Village,3559,"$82,818,000","$73,671,000",15,"$438,000","$73,927,000","$8,891,000",$0,2%,20%
The First National Bank of Hope,3560,"$82,634,000","$71,602,000",18,"$195,000","$76,494,000","$6,140,000",$0,1%,13%
Bank of Billings,3561,"$82,534,000","$71,978,000",24,"$198,000","$72,442,000","$10,092,000",$0,1%,8%
First Citizens Bank of Butte,3562,"$82,383,000","$65,472,000",14,"$348,000","$75,069,000","$7,314,000",$0,2%,20%
Security State Bank of Wanamingo,3563,"$82,342,000","$72,355,000",9,"$294,000","$72,887,000","$9,455,000",$0,1%,12%
West Valley National Bank,3564,"$81,998,000","$70,849,000",20,"$118,000","$71,250,000","$10,748,000",$0,1%,4%
Home National Bank,3565,"$81,991,000","$73,907,000",22,"$200,000","$75,091,000","$6,900,000",$0,1%,12%
Southwest Bank of Weatherford,3566,"$81,964,000","$71,654,000",18,"$235,000","$71,791,000","$10,173,000",$0,1%,9%
American Exchange Bank,3567,"$81,859,000","$72,594,000",27,"$318,000","$73,465,000","$8,394,000",$0,2%,24%
The First National Bank of Trinity,3568,"$81,824,000","$78,263,000",22,"$160,000","$78,816,000","$3,008,000",$0,1%,21%
Conneaut Savings Bank,3569,"$81,755,000","$68,235,000",17,"$22,000","$72,487,000","$9,268,000",$0,0%,1%
Superior Savings Bank,3570,"$81,702,000","$66,549,000",14,"$157,000","$66,985,000","$14,717,000",$0,1%,4%
State Bank of Eagle Butte,3571,"$81,633,000","$75,478,000",19,"$230,000","$75,793,000","$5,840,000",$0,1%,16%
The First National Bank of Germantown,3572,"$81,628,000","$72,731,000",15,"$93,000","$76,089,000","$5,539,000",$0,0%,7%
Method Bank,3573,"$81,222,000","$64,456,000",14,"$-238,000","$73,154,000","$8,068,000",$0,-1%,-12%
Hometown Community Bank,3574,"$81,111,000","$73,622,000",12,"$314,000","$73,779,000","$7,332,000",$0,2%,18%
Bank of Gueydan,3575,"$81,061,000","$64,693,000",9,"$150,000","$65,160,000","$15,901,000",$0,1%,4%
"The Citizens State Bank of Cheney, Kansas",3576,"$81,016,000","$75,789,000",13,"$440,000","$75,870,000","$5,146,000",$0,2%,36%
The Old Exchange National Bank of Okawville,3577,"$80,985,000","$72,766,000",11,"$202,000","$76,205,000","$4,780,000",$0,1%,18%
Bank of Morton,3578,"$80,901,000","$69,979,000",17,"$309,000","$72,246,000","$8,655,000",$0,2%,15%
The Benton State Bank,3579,"$80,763,000","$69,507,000",22,"$198,000","$72,925,000","$7,838,000",$0,1%,10%
American Metro Bank,3580,"$80,744,000","$62,705,000",16,"$192,000","$68,519,000","$12,225,000",$0,1%,6%
Mason City National Bank,3581,"$80,592,000","$71,277,000",8,"$341,000","$71,538,000","$9,054,000",$0,2%,16%
Bank of Hancock County,3582,"$80,558,000","$68,896,000",19,"$163,000","$68,999,000","$11,559,000",$0,1%,6%
farmbank,3583,"$80,531,000","$71,583,000",20,"$57,000","$76,272,000","$4,259,000",$0,0%,5%
The First State Bank of Red Wing,3584,"$80,399,000","$80,161,000",13,"$471,000","$80,409,000","$-10,000",$0,2%,230%
First Colorado National Bank,3585,"$80,366,000","$70,471,000",21,"$66,000","$70,589,000","$9,777,000",$0,0%,3%
California Pacific Bank,3586,"$80,076,000","$40,291,000",9,"$933,000","$41,585,000","$38,491,000",$0,5%,10%
Sanborn Savings Bank,3587,"$80,069,000","$65,460,000",11,"$165,000","$73,093,000","$6,976,000",$0,1%,10%
Warsaw Federal Savings and Loan Association,3588,"$79,971,000","$56,367,000",20,"$-19,000","$74,049,000","$5,922,000","$8,814,000",0%,-1%
Bank of Ontario,3589,"$79,868,000","$65,004,000",16,"$377,000","$71,849,000","$8,019,000",$0,2%,19%
Community Bank of Missouri,3590,"$79,686,000","$69,463,000",15,"$451,000","$69,849,000","$9,837,000",$0,2%,19%
Huron State Bank,3591,"$79,616,000","$69,822,000",13,"$234,000","$69,948,000","$9,668,000",$0,1%,10%
The First National Bank of Eldorado,3592,"$79,479,000","$66,080,000",16,"$636,000","$66,384,000","$13,095,000",$0,3%,20%
First State Bank of Cando,3593,"$79,266,000","$75,070,000",12,"$188,000","$75,214,000","$4,052,000",$0,1%,20%
Tustin Community Bank,3594,"$79,245,000","$67,265,000",22,"$224,000","$67,958,000","$11,287,000",$0,1%,8%
